Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_alphas,fit_intercept
RandomForestRegressor,Featset1,Original,SCN9A,0.2613559263438425,-0.1343621301189378,0.0008116374669300469,0.23173735631055778,0.06415323629423553,0.056528916666272605,10,161,81,556,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.0992850069826458,0.17493779950151192,0.21018096226922345,0.11827840430917552,0.05084241341008434,0.06240947768364798,10,161,81,388,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.13204094661531462,0.028031880671001565,0.09498348474264952,0.8038137332005962,0.06367432122417606,0.06130782767694107,10,161,81,996,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.024122206197645324,0.19337674444032815,0.7613291911980372,0.08368256110343328,0.06032147558927628,0.06777471452249229,10,161,81,161,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.3323420955344159,0.23930346109661021,1.6536119422828928e-05,0.03142702367491018,0.057587561669335555,0.050393130541035565,10,161,81,471,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.373553849186189,0.21590521372379895,1.0565751052996603e-06,0.05288690962286909,0.0637513298248694,0.04861374938783173,10,161,81,92,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3510010258248936,0.3404544559591893,4.992562290070688e-06,0.001871302324665311,0.05962940557970654,0.04955262329014235,10,161,81,261,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3544519788793068,0.31091370272813507,3.9667071764781385e-06,0.0047264375869345366,0.06224272650632108,0.05465197184927393,10,161,81,387,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3548137485284899,0.22044046263835204,3.87159621284326e-06,0.047982121410598474,0.05944827031585723,0.051105012669655524,10,161,81,254,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.32473708877466617,-0.08424724838383126,2.636081938908322e-05,0.45459823355574946,0.06959101567045571,0.053918627410917803,10,161,81,658,27,True
